MemberID,Name,MembershipType,Age,Gender,JoinDate
M001,Member 1,Student,47,Male,2025-02-18
M002,Member 2,Public,47,Female,2022-02-14
M003,Member 3,Public,43,Female,2022-01-07
M004,Member 4,Student,65,Male,2025-03-30
M005,Member 5,Student,22,Male,2024-05-17
M006,Member 6,Public,40,Male,2025-01-13
M007,Member 7,Student,21,Male,2024-08-24
M008,Member 8,Student,20,Female,2024-04-17
M009,Member 9,Public,29,Male,2025-08-06
M010,Member 10,Student,64,Female,2024-02-06
M011,Member 11,Student,42,Female,2024-02-13
M012,Member 12,Student,42,Male,2025-10-30
M013,Member 13,Public,60,Male,2025-08-31
M014,Member 14,Faculty,40,Male,2023-01-01
M015,Member 15,Faculty,52,Female,2024-12-19
M016,Member 16,Faculty,26,Male,2022-01-08
M017,Member 17,Student,66,Male,2023-09-04
M018,Member 18,Public,47,Female,2024-12-25
M019,Member 19,Student,42,Male,2023-05-22
M020,Member 20,Faculty,47,Female,2022-11-14
M021,Member 21,Student,35,Male,2022-08-20
M022,Member 22,Public,20,Female,2025-06-13
M023,Member 23,Public,67,Male,2023-05-08
M024,Member 24,Student,31,Male,2022-07-26
M025,Member 25,Student,56,Male,2024-07-03
M026,Member 26,Public,56,Male,2023-05-17
M027,Member 27,Student,65,Male,2024-04-03
M028,Member 28,Student,46,Male,2025-01-10
M029,Member 29,Student,31,Male,2022-10-14
M030,Member 30,Public,50,Female,2023-04-25
M031,Member 31,Faculty,70,Female,2025-03-28
M032,Member 32,Student,56,Female,2023-05-01
M033,Member 33,Student,37,Male,2025-09-14
M034,Member 34,Student,51,Male,2024-04-26
M035,Member 35,Student,37,Female,2022-05-05
M036,Member 36,Student,53,Male,2025-07-06
M037,Member 37,Premium,61,Female,2025-02-12
M038,Member 38,Student,49,Male,2023-12-07
M039,Member 39,Student,59,Female,2024-12-10
M040,Member 40,Student,38,Female,2024-04-16
M041,Member 41,Student,27,Female,2024-02-10
M042,Member 42,Student,29,Female,2023-05-09
M043,Member 43,Student,32,Female,2022-10-23
M044,Member 44,Faculty,69,Female,2022-04-29
M045,Member 45,Public,53,Female,2024-05-03
M046,Member 46,Student,53,Male,2024-03-06
M047,Member 47,Faculty,33,Female,2023-02-21
M048,Member 48,Public,39,Male,2024-07-10
M049,Member 49,Faculty,41,Male,2025-01-01
M050,Member 50,Student,64,Male,2022-04-16
M051,Member 51,Student,35,Female,2025-10-11
M052,Member 52,Student,56,Male,2022-05-30
M053,Member 53,Student,30,Male,2024-09-08
M054,Member 54,Faculty,31,Female,2023-09-13
M055,Member 55,Student,18,Male,2023-01-25
M056,Member 56,Faculty,65,Male,2024-09-07
M057,Member 57,Faculty,33,Male,2024-03-23
M058,Member 58,Student,33,Female,2023-08-03
M059,Member 59,Faculty,42,Female,2024-12-28
M060,Member 60,Public,59,Female,2023-09-24
M061,Member 61,Public,34,Female,2024-11-16
M062,Member 62,Student,49,Female,2022-07-21
M063,Member 63,Student,69,Female,2023-10-18
M064,Member 64,Student,31,Female,2023-10-03
M065,Member 65,Public,44,Male,2025-02-26
M066,Member 66,Premium,32,Male,2022-02-03
M067,Member 67,Student,34,Female,2023-08-28
M068,Member 68,Student,27,Male,2023-11-07
M069,Member 69,Student,32,Female,2025-03-12
M070,Member 70,Student,33,Female,2025-02-01
M071,Member 71,Public,59,Female,2023-06-12
M072,Member 72,Student,66,Female,2025-08-07
M073,Member 73,Public,65,Female,2024-08-01
M074,Member 74,Public,28,Female,2022-12-13
M075,Member 75,Student,26,Female,2023-01-12
M076,Member 76,Student,52,Male,2024-12-09
M077,Member 77,Student,20,Male,2025-09-30
